country,country_code_2_digit,country_code_3_digit,population,reported_date,hospital_occupancy_count,icu_occupancy_count,source
Norway,NO,NOR,5328212,2020-09-17T00:00:00.0000000,20,,Country_API
Poland,PL,POL,37972812,2020-09-17T00:00:00.0000000,1917,,Country_Website
Portugal,PT,PRT,10276617,2020-09-17T00:00:00.0000000,480,59,Country_Website
Romania,RO,ROU,19414458,2020-09-17T00:00:00.0000000,,460,Country_Website
Slovakia,SK,SVK,5450421,2020-09-17T00:00:00.0000000,121,,JRC
Slovenia,SI,SVN,2080908,2020-09-17T00:00:00.0000000,62,11,Country_Github
United Kingdom,UK,GBR,66647112,2020-09-17T00:00:00.0000000,1115,,Country_Website
Austria,AT,AUT,8858775,2020-09-16T00:00:00.0000000,321,54,Country_Website
Belgium,BE,BEL,11455519,2020-09-16T00:00:00.0000000,353,74,Country_Website
Bulgaria,BG,BGR,7000039,2020-09-16T00:00:00.0000000,734,46,External_Github
Croatia,HR,HRV,4076246,2020-09-16T00:00:00.0000000,293,,Country_Website
Czechia,CZ,CZE,10649800,2020-09-16T00:00:00.0000000,413,91,Country_Website
Denmark,DK,DNK,5806081,2020-09-16T00:00:00.0000000,51,2,Country_Website
Estonia,EE,EST,1324820,2020-09-16T00:00:00.0000000,19,4,Country_API
Finland,FI,FIN,5517919,2020-09-16T00:00:00.0000000,14,3,External_Github
France,FR,FRA,67012883,2020-09-16T00:00:00.0000000,5800,796,Country_Website
Hungary,HU,HUN,9772756,2020-09-16T00:00:00.0000000,324,18,JRC
Ireland,IE,IRL,4904240,2020-09-16T00:00:00.0000000,65,14,Country_Website
Italy,IT,ITA,60359546,2020-09-16T00:00:00.0000000,2492,207,Country_Github
Latvia,LV,LVA,1919968,2020-09-16T00:00:00.0000000,7,,Country_Website
Luxembourg,LU,LUX,613894,2020-09-16T00:00:00.0000000,23,0,Country_Website
Netherlands,NL,NLD,17282163,2020-09-16T00:00:00.0000000,,66,Other Website
Norway,NO,NOR,5328212,2020-09-16T00:00:00.0000000,16,,Country_API
Poland,PL,POL,37972812,2020-09-16T00:00:00.0000000,2007,,Country_Website
Portugal,PT,PRT,10276617,2020-09-16T00:00:00.0000000,482,61,Country_Website
Romania,RO,ROU,19414458,2020-09-16T00:00:00.0000000,,471,Country_Website
Slovakia,SK,SVK,5450421,2020-09-16T00:00:00.0000000,141,,JRC
Slovenia,SI,SVN,2080908,2020-09-16T00:00:00.0000000,61,11,Country_Github
United Kingdom,UK,GBR,66647112,2020-09-16T00:00:00.0000000,1055,,Country_Website
Austria,AT,AUT,8858775,2020-09-15T00:00:00.0000000,293,49,Country_Website
Belgium,BE,BEL,11455519,2020-09-15T00:00:00.0000000,315,67,Country_Website
Bulgaria,BG,BGR,7000039,2020-09-15T00:00:00.0000000,730,49,External_Github
Croatia,HR,HRV,4076246,2020-09-15T00:00:00.0000000,299,,Country_Website
Czechia,CZ,CZE,10649800,2020-09-15T00:00:00.0000000,388,81,Country_Website
Denmark,DK,DNK,5806081,2020-09-15T00:00:00.0000000,56,3,Country_Website
Estonia,EE,EST,1324820,2020-09-15T00:00:00.0000000,19,2,Country_API
France,FR,FRA,67012883,2020-09-15T00:00:00.0000000,5660,752,Country_Website
Hungary,HU,HUN,9772756,2020-09-15T00:00:00.0000000,306,17,JRC
Ireland,IE,IRL,4904240,2020-09-15T00:00:00.0000000,68,13,Country_Website
Italy,IT,ITA,60359546,2020-09-15T00:00:00.0000000,2423,201,Country_Github
Latvia,LV,LVA,1919968,2020-09-15T00:00:00.0000000,10,,Country_Website
Luxembourg,LU,LUX,613894,2020-09-15T00:00:00.0000000,22,0,Country_Website
Netherlands,NL,NLD,17282163,2020-09-15T00:00:00.0000000,,71,Other Website
Norway,NO,NOR,5328212,2020-09-15T00:00:00.0000000,18,,Country_API
Poland,PL,POL,37972812,2020-09-15T00:00:00.0000000,1996,,Country_Website
Portugal,PT,PRT,10276617,2020-09-15T00:00:00.0000000,478,59,Country_Website
Romania,RO,ROU,19414458,2020-09-15T00:00:00.0000000,,460,Country_Website
Slovakia,SK,SVK,5450421,2020-09-15T00:00:00.0000000,141,,JRC
Slovenia,SI,SVN,2080908,2020-09-15T00:00:00.0000000,50,10,Country_Github
United Kingdom,UK,GBR,66647112,2020-09-15T00:00:00.0000000,1027,,Country_Website
Austria,AT,AUT,8858775,2020-09-14T00:00:00.0000000,255,47,Country_Website
Belgium,BE,BEL,11455519,2020-09-14T00:00:00.0000000,318,72,Country_Website
Bulgaria,BG,BGR,7000039,2020-09-14T00:00:00.0000000,740,53,External_Github
Croatia,HR,HRV,4076246,2020-09-14T00:00:00.0000000,310,,Country_Website
Czechia,CZ,CZE,10649800,2020-09-14T00:00:00.0000000,333,78,Country_Website
Denmark,DK,DNK,5806081,2020-09-14T00:00:00.0000000,50,4,Country_Website
Estonia,EE,EST,1324820,2020-09-14T00:00:00.0000000,19,1,Country_API
Finland,FI,FIN,5517919,2020-09-14T00:00:00.0000000,10,3,External_Github
France,FR,FRA,67012883,2020-09-14T00:00:00.0000000,5479,705,Country_Website
Hungary,HU,HUN,9772756,2020-09-14T00:00:00.0000000,287,16,JRC
Ireland,IE,IRL,4904240,2020-09-14T00:00:00.0000000,60,11,Country_Website
Italy,IT,ITA,60359546,2020-09-14T00:00:00.0000000,2319,197,Country_Github
Latvia,LV,LVA,1919968,2020-09-14T00:00:00.0000000,11,,Country_Website
Luxembourg,LU,LUX,613894,2020-09-14T00:00:00.0000000,19,0,Country_Website
Netherlands,NL,NLD,17282163,2020-09-14T00:00:00.0000000,,70,Other Website
Norway,NO,NOR,5328212,2020-09-14T00:00:00.0000000,21,,Country_API
Poland,PL,POL,37972812,2020-09-14T00:00:00.0000000,1972,,Country_Website
Portugal,PT,PRT,10276617,2020-09-14T00:00:00.0000000,477,61,Country_Website
Romania,RO,ROU,19414458,2020-09-14T00:00:00.0000000,,456,Country_Website
Slovakia,SK,SVK,5450421,2020-09-14T00:00:00.0000000,129,,JRC
Slovenia,SI,SVN,2080908,2020-09-14T00:00:00.0000000,42,9,Country_Github
United Kingdom,UK,GBR,66647112,2020-09-14T00:00:00.0000000,937,,Country_Website
Austria,AT,AUT,8858775,2020-09-13T00:00:00.0000000,226,44,Country_Website
Belgium,BE,BEL,11455519,2020-09-13T00:00:00.0000000,293,71,Country_Website
Bulgaria,BG,BGR,7000039,2020-09-13T00:00:00.0000000,736,53,External_Github
Croatia,HR,HRV,4076246,2020-09-13T00:00:00.0000000,309,,Country_Website
Czechia,CZ,CZE,10649800,2020-09-13T00:00:00.0000000,305,74,Country_Website
Denmark,DK,DNK,5806081,2020-09-13T00:00:00.0000000,47,4,Country_Website
Estonia,EE,EST,1324820,2020-09-13T00:00:00.0000000,16,2,Country_API
France,FR,FRA,67012883,2020-09-13T00:00:00.0000000,5228,662,Country_Website
Hungary,HU,HUN,9772756,2020-09-13T00:00:00.0000000,282,16,JRC
Ireland,IE,IRL,4904240,2020-09-13T00:00:00.0000000,54,10,Country_Website
Italy,IT,ITA,60359546,2020-09-13T00:00:00.0000000,2229,187,Country_Github
Latvia,LV,LVA,1919968,2020-09-13T00:00:00.0000000,10,,Country_Website
Luxembourg,LU,LUX,613894,2020-09-13T00:00:00.0000000,16,1,Country_Website
Netherlands,NL,NLD,17282163,2020-09-13T00:00:00.0000000,,60,Other Website
Poland,PL,POL,37972812,2020-09-13T00:00:00.0000000,1961,,Country_Website
Portugal,PT,PRT,10276617,2020-09-13T00:00:00.0000000,452,57,Country_Website
Romania,RO,ROU,19414458,2020-09-13T00:00:00.0000000,,465,Country_Website
Slovakia,SK,SVK,5450421,2020-09-13T00:00:00.0000000,130,,JRC
Slovenia,SI,SVN,2080908,2020-09-13T00:00:00.0000000,38,7,Country_Github
United Kingdom,UK,GBR,66647112,2020-09-13T00:00:00.0000000,798,,Country_Website
Austria,AT,AUT,8858775,2020-09-12T00:00:00.0000000,209,42,Country_Website
Belgium,BE,BEL,11455519,2020-09-12T00:00:00.0000000,260,68,Country_Website
Bulgaria,BG,BGR,7000039,2020-09-12T00:00:00.0000000,735,56,External_Github
Croatia,HR,HRV,4076246,2020-09-12T00:00:00.0000000,313,,Country_Website
Czechia,CZ,CZE,10649800,2020-09-12T00:00:00.0000000,305,70,Country_Website
Denmark,DK,DNK,5806081,2020-09-12T00:00:00.0000000,43,4,Country_Website
Estonia,EE,EST,1324820,2020-09-12T00:00:00.0000000,14,2,Country_API
France,FR,FRA,67012883,2020-09-12T00:00:00.0000000,5176,655,Country_Website
Hungary,HU,HUN,9772756,2020-09-12T00:00:00.0000000,282,15,JRC
Ireland,IE,IRL,4904240,2020-09-12T00:00:00.0000000,52,9,Country_Website
Italy,IT,ITA,60359546,2020-09-12T00:00:00.0000000,2133,182,Country_Github
Latvia,LV,LVA,1919968,2020-09-12T00:00:00.0000000,9,,Country_Website
Luxembourg,LU,LUX,613894,2020-09-12T00:00:00.0000000,18,0,Country_Website
Netherlands,NL,NLD,17282163,2020-09-12T00:00:00.0000000,,58,Other Website
Poland,PL,POL,37972812,2020-09-12T00:00:00.0000000,1946,,Country_Website
Portugal,PT,PRT,10276617,2020-09-12T00:00:00.0000000,438,59,Country_Website
Romania,RO,ROU,19414458,2020-09-12T00:00:00.0000000,,467,Country_Website
Slovakia,SK,SVK,5450421,2020-09-12T00:00:00.0000000,117,,JRC
Slovenia,SI,SVN,2080908,2020-09-12T00:00:00.0000000,31,6,Country_Github
United Kingdom,UK,GBR,66647112,2020-09-12T00:00:00.0000000,768,,Country_Website
Austria,AT,AUT,8858775,2020-09-11T00:00:00.0000000,204,41,Country_Website
Belgium,BE,BEL,11455519,2020-09-11T00:00:00.0000000,254,67,Country_Website
Bulgaria,BG,BGR,7000039,2020-09-11T00:00:00.0000000,746,55,External_Github
Croatia,HR,HRV,4076246,2020-09-11T00:00:00.0000000,327,,Country_Website
Czechia,CZ,CZE,10649800,2020-09-11T00:00:00.0000000,297,69,Country_Website
Denmark,DK,DNK,5806081,2020-09-11T00:00:00.0000000,44,7,Country_Website
Estonia,EE,EST,1324820,2020-09-11T00:00:00.0000000,14,2,Country_API
Finland,FI,FIN,5517919,2020-09-11T00:00:00.0000000,8,1,External_Github
France,FR,FRA,67012883,2020-09-11T00:00:00.0000000,5136,628,Country_Website
Hungary,HU,HUN,9772756,2020-09-11T00:00:00.0000000,259,12,JRC
Ireland,IE,IRL,4904240,2020-09-11T00:00:00.0000000,53,7,Country_Website
Italy,IT,ITA,60359546,2020-09-11T00:00:00.0000000,2024,175,Country_Github
Latvia,LV,LVA,1919968,2020-09-11T00:00:00.0000000,10,,Country_Website
Luxembourg,LU,LUX,613894,2020-09-11T00:00:00.0000000,17,0,Country_Website
Netherlands,NL,NLD,17282163,2020-09-11T00:00:00.0000000,,54,Other Website
Norway,NO,NOR,5328212,2020-09-11T00:00:00.0000000,16,,Country_API
Poland,PL,POL,37972812,2020-09-11T00:00:00.0000000,1957,,Country_Website
Portugal,PT,PRT,10276617,2020-09-11T00:00:00.0000000,404,54,Country_Website
Romania,RO,ROU,19414458,2020-09-11T00:00:00.0000000,,478,Country_Website
Slovakia,SK,SVK,5450421,2020-09-11T00:00:00.0000000,117,,JRC
Slovenia,SI,SVN,2080908,2020-09-11T00:00:00.0000000,27,6,Country_Github
United Kingdom,UK,GBR,66647112,2020-09-11T00:00:00.0000000,734,,Country_Website
Austria,AT,AUT,8858775,2020-09-10T00:00:00.0000000,205,39,Country_Website
Belgium,BE,BEL,11455519,2020-09-10T00:00:00.0000000,249,65,Country_Website
Bulgaria,BG,BGR,7000039,2020-09-10T00:00:00.0000000,753,60,External_Github
Croatia,HR,HRV,4076246,2020-09-10T00:00:00.0000000,320,,Country_Website
Czechia,CZ,CZE,10649800,2020-09-10T00:00:00.0000000,264,65,Country_Website
Denmark,DK,DNK,5806081,2020-09-10T00:00:00.0000000,35,5,Country_Website
Estonia,EE,EST,1324820,2020-09-10T00:00:00.0000000,13,2,Country_API
France,FR,FRA,67012883,2020-09-10T00:00:00.0000000,5077,608,Country_Website
Hungary,HU,HUN,9772756,2020-09-10T00:00:00.0000000,234,11,JRC
Ireland,IE,IRL,4904240,2020-09-10T00:00:00.0000000,49,7,Country_Website
Italy,IT,ITA,60359546,2020-09-10T00:00:00.0000000,2000,164,Country_Github
Latvia,LV,LVA,1919968,2020-09-10T00:00:00.0000000,9,,Country_Website
Luxembourg,LU,LUX,613894,2020-09-10T00:00:00.0000000,21,1,Country_Website
Netherlands,NL,NLD,17282163,2020-09-10T00:00:00.0000000,,49,Other Website
Norway,NO,NOR,5328212,2020-09-10T00:00:00.0000000,11,,Country_API
Poland,PL,POL,37972812,2020-09-10T00:00:00.0000000,1924,,Country_Website
Portugal,PT,PRT,10276617,2020-09-10T00:00:00.0000000,406,57,Country_Website
Romania,RO,ROU,19414458,2020-09-10T00:00:00.0000000,,459,Country_Website
Slovakia,SK,SVK,5450421,2020-09-10T00:00:00.0000000,115,,JRC
Slovenia,SI,SVN,2080908,2020-09-10T00:00:00.0000000,26,5,Country_Github
United Kingdom,UK,GBR,66647112,2020-09-10T00:00:00.0000000,914,,Country_Website
Austria,AT,AUT,8858775,2020-09-09T00:00:00.0000000,197,36,Country_Website
Belgium,BE,BEL,11455519,2020-09-09T00:00:00.0000000,250,60,Country_Website
Bulgaria,BG,BGR,7000039,2020-09-09T00:00:00.0000000,762,57,External_Github
Croatia,HR,HRV,4076246,2020-09-09T00:00:00.0000000,299,,Country_Website
Czechia,CZ,CZE,10649800,2020-09-09T00:00:00.0000000,249,64,Country_Website
Denmark,DK,DNK,5806081,2020-09-09T00:00:00.0000000,30,5,Country_Website
Estonia,EE,EST,1324820,2020-09-09T00:00:00.0000000,9,2,Country_API
Finland,FI,FIN,5517919,2020-09-09T00:00:00.0000000,6,1,External_Github
France,FR,FRA,67012883,2020-09-09T00:00:00.0000000,4985,593,Country_Website
Hungary,HU,HUN,9772756,2020-09-09T00:00:00.0000000,221,13,JRC
Ireland,IE,IRL,4904240,2020-09-09T00:00:00.0000000,50,6,Country_Website
Italy,IT,ITA,60359546,2020-09-09T00:00:00.0000000,1928,150,Country_Github
Latvia,LV,LVA,1919968,2020-09-09T00:00:00.0000000,9,,Country_Website
Luxembourg,LU,LUX,613894,2020-09-09T00:00:00.0000000,21,0,Country_Website
Netherlands,NL,NLD,17282163,2020-09-09T00:00:00.0000000,,46,Other Website
Norway,NO,NOR,5328212,2020-09-09T00:00:00.0000000,14,,Country_API
Poland,PL,POL,37972812,2020-09-09T00:00:00.0000000,2070,,Country_Website
Portugal,PT,PRT,10276617,2020-09-09T00:00:00.0000000,391,52,Country_Website
Romania,RO,ROU,19414458,2020-09-09T00:00:00.0000000,,459,Country_Website
Slovakia,SK,SVK,5450421,2020-09-09T00:00:00.0000000,131,,JRC
Slovenia,SI,SVN,2080908,2020-09-09T00:00:00.0000000,27,4,Country_Github
United Kingdom,UK,GBR,66647112,2020-09-09T00:00:00.0000000,894,,Country_Website
Austria,AT,AUT,8858775,2020-09-08T00:00:00.0000000,170,28,Country_Website
Belgium,BE,BEL,11455519,2020-09-08T00:00:00.0000000,260,59,Country_Website
Bulgaria,BG,BGR,7000039,2020-09-08T00:00:00.0000000,773,53,External_Github
Croatia,HR,HRV,4076246,2020-09-08T00:00:00.0000000,303,,Country_Website
Czechia,CZ,CZE,10649800,2020-09-08T00:00:00.0000000,244,57,Country_Website
Denmark,DK,DNK,5806081,2020-09-08T00:00:00.0000000,28,3,Country_Website
Estonia,EE,EST,1324820,2020-09-08T00:00:00.0000000,7,1,Country_API
France,FR,FRA,67012883,2020-09-08T00:00:00.0000000,4942,568,Country_Website
Hungary,HU,HUN,9772756,2020-09-08T00:00:00.0000000,192,12,JRC
Ireland,IE,IRL,4904240,2020-09-08T00:00:00.0000000,49,6,Country_Website
Italy,IT,ITA,60359546,2020-09-08T00:00:00.0000000,1903,143,Country_Github
Latvia,LV,LVA,1919968,2020-09-08T00:00:00.0000000,9,,Country_Website
Luxembourg,LU,LUX,613894,2020-09-08T00:00:00.0000000,23,0,Country_Website
Netherlands,NL,NLD,17282163,2020-09-08T00:00:00.0000000,,47,Other Website
Norway,NO,NOR,5328212,2020-09-08T00:00:00.0000000,11,,Country_API
Poland,PL,POL,37972812,2020-09-08T00:00:00.0000000,2042,,Country_Website
Portugal,PT,PRT,10276617,2020-09-08T00:00:00.0000000,394,50,Country_Website
Romania,RO,ROU,19414458,2020-09-08T00:00:00.0000000,,460,Country_Website
Slovakia,SK,SVK,5450421,2020-09-08T00:00:00.0000000,110,,JRC
Slovenia,SI,SVN,2080908,2020-09-08T00:00:00.0000000,28,4,Country_Github
United Kingdom,UK,GBR,66647112,2020-09-08T00:00:00.0000000,868,,Country_Website
Austria,AT,AUT,8858775,2020-09-07T00:00:00.0000000,163,29,Country_Website
Belgium,BE,BEL,11455519,2020-09-07T00:00:00.0000000,235,52,Country_Website
Bulgaria,BG,BGR,7000039,2020-09-07T00:00:00.0000000,766,54,External_Github
Croatia,HR,HRV,4076246,2020-09-07T00:00:00.0000000,307,,Country_Website
Czechia,CZ,CZE,10649800,2020-09-07T00:00:00.0000000,234,62,Country_Website
Denmark,DK,DNK,5806081,2020-09-07T00:00:00.0000000,29,3,Country_Website
Estonia,EE,EST,1324820,2020-09-07T00:00:00.0000000,7,0,Country_API
Finland,FI,FIN,5517919,2020-09-07T00:00:00.0000000,16,1,External_Github
France,FR,FRA,67012883,2020-09-07T00:00:00.0000000,4889,531,Country_Website
Hungary,HU,HUN,9772756,2020-09-07T00:00:00.0000000,164,11,JRC
Iceland,IS,ISL,356991,2020-09-07T00:00:00.0000000,1,0,Country_Website
Ireland,IE,IRL,4904240,2020-09-07T00:00:00.0000000,49,6,Country_Website
Italy,IT,ITA,60359546,2020-09-07T00:00:00.0000000,1861,142,Country_Github
Latvia,LV,LVA,1919968,2020-09-07T00:00:00.0000000,9,,Country_Website
Luxembourg,LU,LUX,613894,2020-09-07T00:00:00.0000000,20,0,Country_Website
Netherlands,NL,NLD,17282163,2020-09-07T00:00:00.0000000,,46,Other Website
Norway,NO,NOR,5328212,2020-09-07T00:00:00.0000000,15,,Country_API
Poland,PL,POL,37972812,2020-09-07T00:00:00.0000000,2113,,Country_Website
Portugal,PT,PRT,10276617,2020-09-07T00:00:00.0000000,381,49,Country_Website
Romania,RO,ROU,19414458,2020-09-07T00:00:00.0000000,,465,Country_Website
Slovakia,SK,SVK,5450421,2020-09-07T00:00:00.0000000,99,,JRC
Slovenia,SI,SVN,2080908,2020-09-07T00:00:00.0000000,26,4,Country_Github
United Kingdom,UK,GBR,66647112,2020-09-07T00:00:00.0000000,874,,Country_Website
Austria,AT,AUT,8858775,2020-09-06T00:00:00.0000000,143,28,Country_Website
Belgium,BE,BEL,11455519,2020-09-06T00:00:00.0000000,223,53,Country_Website
Bulgaria,BG,BGR,7000039,2020-09-06T00:00:00.0000000,755,57,External_Github
Croatia,HR,HRV,4076246,2020-09-06T00:00:00.0000000,296,,Country_Website
Czechia,CZ,CZE,10649800,2020-09-06T00:00:00.0000000,214,54,Country_Website
Denmark,DK,DNK,5806081,2020-09-06T00:00:00.0000000,27,4,Country_Website
Estonia,EE,EST,1324820,2020-09-06T00:00:00.0000000,7,0,Country_API
France,FR,FRA,67012883,2020-09-06T00:00:00.0000000,4697,480,Country_Website
Hungary,HU,HUN,9772756,2020-09-06T00:00:00.0000000,151,11,JRC
Iceland,IS,ISL,356991,2020-09-06T00:00:00.0000000,0,0,Country_Website
Ireland,IE,IRL,4904240,2020-09-06T00:00:00.0000000,49,6,Country_Website
Italy,IT,ITA,60359546,2020-09-06T00:00:00.0000000,1816,133,Country_Github
Latvia,LV,LVA,1919968,2020-09-06T00:00:00.0000000,7,,Country_Website
Luxembourg,LU,LUX,613894,2020-09-06T00:00:00.0000000,15,0,Country_Website
Netherlands,NL,NLD,17282163,2020-09-06T00:00:00.0000000,,45,Other Website
Poland,PL,POL,37972812,2020-09-06T00:00:00.0000000,2091,,Country_Website
Portugal,PT,PRT,10276617,2020-09-06T00:00:00.0000000,354,43,Country_Website
Romania,RO,ROU,19414458,2020-09-06T00:00:00.0000000,,474,Country_Website
Slovakia,SK,SVK,5450421,2020-09-06T00:00:00.0000000,99,,JRC
Slovenia,SI,SVN,2080908,2020-09-06T00:00:00.0000000,23,3,Country_Github
United Kingdom,UK,GBR,66647112,2020-09-06T00:00:00.0000000,789,,Country_Website
Austria,AT,AUT,8858775,2020-09-05T00:00:00.0000000,157,28,Country_Website
Belgium,BE,BEL,11455519,2020-09-05T00:00:00.0000000,215,53,Country_Website
Bulgaria,BG,BGR,7000039,2020-09-05T00:00:00.0000000,763,56,External_Github
Croatia,HR,HRV,4076246,2020-09-05T00:00:00.0000000,285,,Country_Website
Czechia,CZ,CZE,10649800,2020-09-05T00:00:00.0000000,204,52,Country_Website
Denmark,DK,DNK,5806081,2020-09-05T00:00:00.0000000,16,3,Country_Website
Estonia,EE,EST,1324820,2020-09-05T00:00:00.0000000,7,0,Country_API
France,FR,FRA,67012883,2020-09-05T00:00:00.0000000,4667,476,Country_Website
Hungary,HU,HUN,9772756,2020-09-05T00:00:00.0000000,139,9,JRC
Iceland,IS,ISL,356991,2020-09-05T00:00:00.0000000,0,0,Country_Website
Ireland,IE,IRL,4904240,2020-09-05T00:00:00.0000000,48,7,Country_Website
Italy,IT,ITA,60359546,2020-09-05T00:00:00.0000000,1741,121,Country_Github
Latvia,LV,LVA,1919968,2020-09-05T00:00:00.0000000,7,,Country_Website
Luxembourg,LU,LUX,613894,2020-09-05T00:00:00.0000000,10,0,Country_Website
Netherlands,NL,NLD,17282163,2020-09-05T00:00:00.0000000,,41,Other Website
Poland,PL,POL,37972812,2020-09-05T00:00:00.0000000,2090,,Country_Website
Portugal,PT,PRT,10276617,2020-09-05T00:00:00.0000000,345,41,Country_Website
Romania,RO,ROU,19414458,2020-09-05T00:00:00.0000000,,476,Country_Website
Slovakia,SK,SVK,5450421,2020-09-05T00:00:00.0000000,95,,JRC
Slovenia,SI,SVN,2080908,2020-09-05T00:00:00.0000000,22,3,Country_Github
United Kingdom,UK,GBR,66647112,2020-09-05T00:00:00.0000000,783,,Country_Website
Austria,AT,AUT,8858775,2020-09-04T00:00:00.0000000,156,28,Country_Website
Belgium,BE,BEL,11455519,2020-09-04T00:00:00.0000000,215,52,Country_Website
Bulgaria,BG,BGR,7000039,2020-09-04T00:00:00.0000000,764,61,External_Github
Croatia,HR,HRV,4076246,2020-09-04T00:00:00.0000000,283,,Country_Website
Czechia,CZ,CZE,10649800,2020-09-04T00:00:00.0000000,197,50,Country_Website
Denmark,DK,DNK,5806081,2020-09-04T00:00:00.0000000,18,3,Country_Website
Estonia,EE,EST,1324820,2020-09-04T00:00:00.0000000,7,0,Country_API
Finland,FI,FIN,5517919,2020-09-04T00:00:00.0000000,14,1,External_Github
France,FR,FRA,67012883,2020-09-04T00:00:00.0000000,4653,467,Country_Website
Hungary,HU,HUN,9772756,2020-09-04T00:00:00.0000000,120,8,JRC
Iceland,IS,ISL,356991,2020-09-04T00:00:00.0000000,0,0,Country_Website
Ireland,IE,IRL,4904240,2020-09-04T00:00:00.0000000,44,7,Country_Website
Italy,IT,ITA,60359546,2020-09-04T00:00:00.0000000,1728,121,Country_Github
Latvia,LV,LVA,1919968,2020-09-04T00:00:00.0000000,6,,Country_Website
Luxembourg,LU,LUX,613894,2020-09-04T00:00:00.0000000,10,0,Country_Website
Netherlands,NL,NLD,17282163,2020-09-04T00:00:00.0000000,,45,Other Website
Norway,NO,NOR,5328212,2020-09-04T00:00:00.0000000,16,,Country_API
Poland,PL,POL,37972812,2020-09-04T00:00:00.0000000,2179,,Country_Website
Portugal,PT,PRT,10276617,2020-09-04T00:00:00.0000000,339,40,Country_Website
Romania,RO,ROU,19414458,2020-09-04T00:00:00.0000000,,485,Country_Website
Slovakia,SK,SVK,5450421,2020-09-04T00:00:00.0000000,92,,JRC
Slovenia,SI,SVN,2080908,2020-09-04T00:00:00.0000000,24,3,Country_Github
United Kingdom,UK,GBR,66647112,2020-09-04T00:00:00.0000000,788,,Country_Website
Austria,AT,AUT,8858775,2020-09-03T00:00:00.0000000,161,29,Country_Website
Belgium,BE,BEL,11455519,2020-09-03T00:00:00.0000000,209,58,Country_Website
Bulgaria,BG,BGR,7000039,2020-09-03T00:00:00.0000000,758,63,External_Github
Croatia,HR,HRV,4076246,2020-09-03T00:00:00.0000000,269,,Country_Website
Czechia,CZ,CZE,10649800,2020-09-03T00:00:00.0000000,190,44,Country_Website
Denmark,DK,DNK,5806081,2020-09-03T00:00:00.0000000,17,3,Country_Website
Estonia,EE,EST,1324820,2020-09-03T00:00:00.0000000,9,0,Country_API
France,FR,FRA,67012883,2020-09-03T00:00:00.0000000,4625,458,Country_Website
Hungary,HU,HUN,9772756,2020-09-03T00:00:00.0000000,100,7,JRC
Iceland,IS,ISL,356991,2020-09-03T00:00:00.0000000,0,0,Country_Website
Ireland,IE,IRL,4904240,2020-09-03T00:00:00.0000000,40,7,Country_Website
Italy,IT,ITA,60359546,2020-09-03T00:00:00.0000000,1625,120,Country_Github
Latvia,LV,LVA,1919968,2020-09-03T00:00:00.0000000,7,,Country_Website
Luxembourg,LU,LUX,613894,2020-09-03T00:00:00.0000000,11,0,Country_Website
Netherlands,NL,NLD,17282163,2020-09-03T00:00:00.0000000,,41,Other Website
Norway,NO,NOR,5328212,2020-09-03T00:00:00.0000000,13,,Country_API
Poland,PL,POL,37972812,2020-09-03T00:00:00.0000000,2170,,Country_Website
Portugal,PT,PRT,10276617,2020-09-03T00:00:00.0000000,334,44,Country_Website
Romania,RO,ROU,19414458,2020-09-03T00:00:00.0000000,,503,Country_Website
Slovakia,SK,SVK,5450421,2020-09-03T00:00:00.0000000,105,,JRC
Slovenia,SI,SVN,2080908,2020-09-03T00:00:00.0000000,26,4,Country_Github
United Kingdom,UK,GBR,66647112,2020-09-03T00:00:00.0000000,781,,Country_Website
Austria,AT,AUT,8858775,2020-09-02T00:00:00.0000000,157,30,Country_Website
Belgium,BE,BEL,11455519,2020-09-02T00:00:00.0000000,221,60,Country_Website
Bulgaria,BG,BGR,7000039,2020-09-02T00:00:00.0000000,737,62,External_Github
Croatia,HR,HRV,4076246,2020-09-02T00:00:00.0000000,258,,Country_Website
Czechia,CZ,CZE,10649800,2020-09-02T00:00:00.0000000,177,40,Country_Website
Denmark,DK,DNK,5806081,2020-09-02T00:00:00.0000000,15,4,Country_Website
Estonia,EE,EST,1324820,2020-09-02T00:00:00.0000000,10,0,Country_API
Finland,FI,FIN,5517919,2020-09-02T00:00:00.0000000,9,2,External_Github
France,FR,FRA,67012883,2020-09-02T00:00:00.0000000,4614,440,Country_Website
Hungary,HU,HUN,9772756,2020-09-02T00:00:00.0000000,98,7,JRC
Iceland,IS,ISL,356991,2020-09-02T00:00:00.0000000,0,0,Country_Website
Ireland,IE,IRL,4904240,2020-09-02T00:00:00.0000000,40,6,Country_Website
Italy,IT,ITA,60359546,2020-09-02T00:00:00.0000000,1546,109,Country_Github
Latvia,LV,LVA,1919968,2020-09-02T00:00:00.0000000,5,,Country_Website
Luxembourg,LU,LUX,613894,2020-09-02T00:00:00.0000000,16,2,Country_Website
Netherlands,NL,NLD,17282163,2020-09-02T00:00:00.0000000,,39,Other Website
Norway,NO,NOR,5328212,2020-09-02T00:00:00.0000000,11,,Country_API
Poland,PL,POL,37972812,2020-09-02T00:00:00.0000000,2168,,Country_Website
Portugal,PT,PRT,10276617,2020-09-02T00:00:00.0000000,337,41,Country_Website
Romania,RO,ROU,19414458,2020-09-02T00:00:00.0000000,,519,Country_Website
Slovakia,SK,SVK,5450421,2020-09-02T00:00:00.0000000,99,,JRC
