country,country_code_2_digit,country_code_3_digit,population,reported_date,hospital_occupancy_count,icu_occupancy_count,source
Estonia,EE,EST,1324820,2020-10-22T00:00:00.0000000,28,2,Country_API
France,FR,FRA,67012883,2020-10-22T00:00:00.0000000,14009,2310,Country_Website
Hungary,HU,HUN,9772756,2020-10-22T00:00:00.0000000,2132,197,JRC
Ireland,IE,IRL,4904240,2020-10-22T00:00:00.0000000,310,37,Country_Website
Italy,IT,ITA,60359546,2020-10-22T00:00:00.0000000,10686,992,Country_Github
Latvia,LV,LVA,1919968,2020-10-22T00:00:00.0000000,105,,Country_Website
Luxembourg,LU,LUX,613894,2020-10-22T00:00:00.0000000,86,10,Country_Website
Netherlands,NL,NLD,17282163,2020-10-22T00:00:00.0000000,,508,Other Website
Norway,NO,NOR,5328212,2020-10-22T00:00:00.0000000,44,,Country_API
Poland,PL,POL,37972812,2020-10-22T00:00:00.0000000,10091,,Country_Website
Portugal,PT,PRT,10276617,2020-10-22T00:00:00.0000000,1365,200,Country_Website
Romania,RO,ROU,19414458,2020-10-22T00:00:00.0000000,,778,Country_Website
Slovakia,SK,SVK,5450421,2020-10-22T00:00:00.0000000,876,,JRC
Slovenia,SI,SVN,2080908,2020-10-22T00:00:00.0000000,356,62,Country_Github
United Kingdom,UK,GBR,66647112,2020-10-22T00:00:00.0000000,7903,,Country_Website
Austria,AT,AUT,8858775,2020-10-21T00:00:00.0000000,960,147,Country_Website
Belgium,BE,BEL,11455519,2020-10-21T00:00:00.0000000,3275,525,Country_Website
Bulgaria,BG,BGR,7000039,2020-10-21T00:00:00.0000000,1633,93,External_Github
Croatia,HR,HRV,4076246,2020-10-21T00:00:00.0000000,622,,Country_Website
Czechia,CZ,CZE,10649800,2020-10-21T00:00:00.0000000,4777,735,Country_Website
Denmark,DK,DNK,5806081,2020-10-21T00:00:00.0000000,122,16,Country_Website
Estonia,EE,EST,1324820,2020-10-21T00:00:00.0000000,32,3,Country_API
Finland,FI,FIN,5517919,2020-10-21T00:00:00.0000000,65,7,External_Github
France,FR,FRA,67012883,2020-10-21T00:00:00.0000000,13162,2239,Country_Website
Hungary,HU,HUN,9772756,2020-10-21T00:00:00.0000000,2023,201,JRC
Ireland,IE,IRL,4904240,2020-10-21T00:00:00.0000000,324,35,Country_Website
